,Name,Description,date_guess,type_guess
0,"*Fairhope, AL","Jam n Folks meet every Tuesday (unless we are playing someplace) at the Nix Senior Center at 1 Bayou Drive ( a block and half east of North Section Street) in Fairhope. We practice from 9:00am to 12:00pm.<br><br>You can also chat with us at our Facebook page: https://www.facebook.com/groups/345412158921659/<br><br>Instrumentation in Jam n Folks includes mountain dulcimer, hammered dulcimer, mandolins, guitars, violins, viola, recorders, krumhorns, penny whistles, accordion and percussion as required. They have even let the webmaster of this site get away with bringing his soprano and baritone ukuleles. Grab your instrument of choice, come on over and play some tunes with us.                                                     JS 11/30/21",Tuesday,weekly gathering
2,"*Ester, AK","The Golden Eagle Saloon<br>3630 Main St, Ester, AK, has irregular/impromptu mostly old time jam sessions. Contact Sina Anahita jmanahita@alaska.edu                                               JS 11/30/21",irregular/impromptu mostly old time jam sessions,weekly gathering
3,"Fairbanks, AK","This jam is Zoom only until further notice.       The Pioneer Park Pickers meet at 6:30 every Tuesday, 52 weeks a year at the Pioneer Museum at Pioneer Park at 2300 Airport Road, Fairbanks, AK. Other events held at the park sometimes force us to move so if we’re not in the museum, check the exhibit hall/theater. It is a welcoming jam for acoustic musicians and vocalists of all skill levels. We play various genres of music including old time, bluegrass, contemporary, light rock and blues. Players are encouraged to bring 15-20 copies of lyrics (with chords!) for each song they want to lead. Music stands are allowed. Visitors are always welcome. Come and play or just listen. <br>JS 4/6/21",Tuesday,weekly gathering
5,"*Fairbanks, AK",Lynn Basham (907) 479-2006 or Gary Newman – email: gary(at)alaskafolkmusic.org – can usually get together some impromptu session if out-of-town trad musicians pass through.              JS 11/30/21,impromptu session,annual event
7,"Black Canyon City, AZ","****ALL LEVELS - BLUEGRASS / OLD TIME COUNTRY/GOSPEL JAM****<br><br>Black Canyon City -High Desert Park<br>2nd Sunday's - Sept thru May<br>1pm-3:30-4pm<br>19001 Jacie Lane, Black Canyon City<br><br>Directions From Phoenix:<br>Take I-17 north and Exit at Rock Springs. Cross freeway to west side, turn north (rt) and follow to Jacie Ln (road at fire station on left), turn left and follow to top of hill. We'll be inside the only building up there. Dress light or in layers as it tends to get warm in there.<br><br>CR 11/2/2019",2nd Sunday's - Sept thru May,weekly gathering
8,"Cottonwood, AZ","This jam is not happening as of now,<br>First Sundays 1-4pm<br>Senior Citizens Hall<br>500 E Cherry<br>Cottonwood, AZ<br>Contact Fran Judd 928-634-7963<br><br>https://verdevalleyseniorcenter.org/index.html<br><br>JS 11/30/21",First Sundays 1-4pm,weekly gathering
9,"*Flagstaff, AZ","Every Thursday Evening<br><br>Just Desserts practices every Thursday evening at the Senior Center in Thorpe Park in Flagstaff, running from 7-9pm. Just Desserts is an open band which plays for the FFOTM Contra Dances roughly 6 times a year. If you’d like to join us, email Paisley Boone for more information: contradance@ffotm.org<br>https://ffotm.org/contra-dances/<br><br>Updated CR 10/21/22<br><br><br>https://ffotm.org/contra-dances/<br><br>CR 12/2/2019",Thursday,weekly gathering
11,"*Mesa, AZ ","Arizona Old Time Fiddlers<br>Tuesdays, 7-9pm<br>920 N Barkley, Mesa, AZ<br>Contact Crystal Shu 480-851-8362<br>crystalw86@hotmail.com<br>JS 11/30/21","Tuesdays, 7-9pm",weekly gathering
12,"Mesa - Apache Junction, AZ","These RV park jams are not exactly Old Time but travelers may want to know about them. They are likely to be seasonal (winter). Call ahead.<br><br>Monday<br>Sun Life 5055 E University Cr. 1-3pm Beginning November<br>Rancho Mirage 2400 E Baseline 12:45- 3pm Open all year.<br>Citrus Gardens 4065 E University Dr 1-3pm<br>El Dorado 202 N Meridian 12:30-3pm<br><br>Tuesday<br>Superstition Buttes 301 S Signal Butte 12:30 3pm Open all year.<br>Park Place East 146 N Merrill Rd 12:30 3pm Start Nov.<br>Shady Rest RV 11435 E Apache Trail 6:30-8:30pm 2nd Tuesday of the month.<br><br>Wednesday<br>Good Life 3403 E Main St 1-4pm Country Music<br>Sunset Resort 8615 E Main St 1-3:30pm Starts November<br><br>Thursday<br>Apache Villa 1235 S Ocotillo Dr. 1-3pm Limited to people that play instruments<br>Weavers Needle 250 S Tomahawk Rd. 7-9pm<br>Lost Canadian 582 Palo Verde 12:30-3pm Outside Jam<br>Broadway Estates 345 S 58th St Mesa 1-3pm 1st & 3rd Thursday each month.<br>Sun Valley Park 11101 E University Dr. Mesa 12:45-3pm All instruments welcome<br><br>Friday<br>Sierra Del Suguaro 1855 W Southern Ave Apache Junction 12:30-3pm Beginning November<br>Superstition Lookout 1371 E 4th Ave 12:30-3pm<br>Sunland Village East Baseline and Farnsworth, Mesa 12:30 2:45pm Open All Year<br>Silver Spur Ranch 9310 E Apache Trail 6:30 9pm No Brass, No Drums Gospel last Friday of the month.<br><br>Saturday<br>Rock Shadows 600 S Idaho Rd 12:30-3pm Beginning November<br>Sundowner 105 N Delaware 12:30 3pm Beginning November. 2nd & 4th Saturday of the month.<br><br>Sunday<br>Mesa Dunes 7801 E Apache Trail 1-3pm<br>Venture Out 5001 E Main 1-4pm 3rd Sunday of the month beginning in November.<br>JS 2/2/23",Thursday,weekly gathering
13,"*Oracle, AZ","Open Acoustic Jam in Oracle<br>First Thursday of Each Month<br>(October through April, except holidays)<br>6:30 – 8:30 pm<br><br>We play a variety of bluegrass, old time, folk, and classic country music. Well known<br>songs from other genres with simple chords that can be picked up easily are welcome.<br>The jam is limited to acoustic instruments: guitar, mandolin, fiddle, banjo, harmonica,<br>flute, autoharp, hammered dulcimer, dobro, piano, and bass (either acoustic or electric)<br>with no horns or drums. Pickers and Grinners welcome.<br>For more information go to our website at www.orca.desertsky.us or email<br>ORCA@desertsky.us or call Shay Cardell at 1-520-357-6432<br><br>Oracle Community Center:<br>685 E American Ave<br>Oracle, AZ 85623<br><br>CR 3/7/2023",October through April,weekly gathering
